Prod_year,Engine_volume,Mileage,Cylinders,Airbags,Manufacturer,Model,Category,Fuel_type,Gear_box_type,Drive_wheels,Doors,Color,Leather_interior,Wheel,Turbo
2010,1.0,39000.0,4.0,10,TOYOTA,Vitz,Hatchback,Petrol,Automatic,Front,04-May,Black,No,Right-hand drive,False
2005,1.7,0.0,4.0,5,OPEL,Astra H,Hatchback,Diesel,Manual,Front,04-May,Grey,No,Left wheel,True
2011,2.5,193754.0,4.0,12,TOYOTA,RAV 4,Jeep,Petrol,Automatic,4x4,04-May,Blue,Yes,Left wheel,False
2017,1.2,46000.0,4.0,4,KIA,Picanto,Sedan,Petrol,Manual,Front,04-May,Silver,No,Left wheel,False
2011,1.4,360000.0,4.0,10,CHEVROLET,Volt,Hatchback,Plug-in Hybrid,Tiptronic,Front,04-May,Carnelian red,Yes,Left wheel,False
2013,2.0,144000.0,4.0,12,AUDI,A4,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,True
2019,2.5,14186.0,4.0,12,MAZDA,CX-9,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2015,1.8,115347.0,4.0,0,LEXUS,CT 200h,Hatchback,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2017,2.0,68188.0,4.0,12,FORD,Focus,Hatchback,Petrol,Automatic,Front,04-May,Red,No,Left wheel,False
2014,3.0,0.0,6.0,0,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2016,1.8,53000.0,4.0,6,CHEVROLET,Cruze,Sedan,Petrol,Tiptronic,Front,04-May,White,Yes,Left wheel,False
2013,1.5,110000.0,4.0,12,TOYOTA,Prius C,Hatchback,Hybrid,Automatic,Front,04-May,Silver,No,Left wheel,False
2010,2.0,191263.0,4.0,4,HYUNDAI,Genesis,Coupe,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,1.5,37000.0,4.0,6,TOYOTA,Aqua,Hatchback,Petrol,Automatic,Front,04-May,Silver,No,Right-hand drive,False
2015,2.0,145744.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Red,Yes,Left wheel,False
2007,2.0,180000.0,4.0,2,MITSUBISHI,Pajero IO,Jeep,Petrol,Automatic,4x4,04-May,Red,No,Left wheel,False
2013,1.8,169301.0,4.0,12,TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
1998,1.6,100000.0,4.0,4,OPEL,Astra,Universal,Petrol,Manual,Front,04-May,Grey,No,Left wheel,False
2004,4.0,151000.0,6.0,4,JEEP,Grand Cherokee,Jeep,CNG,Automatic,4x4,04-May,Grey,No,Left wheel,False
2013,2.2,167000.0,4.0,2,MERCEDES-BENZ,Vito,Minivan,Diesel,Manual,Rear,04-May,White,No,Left wheel,True
2007,1.3,129000.0,4.0,6,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Black,No,Right-hand drive,False
2010,1.8,252800.0,4.0,6,TOYOTA,Prius,Hatchback,Hybrid,Variator,Front,04-May,White,No,Left wheel,False
2013,1.6,91000.0,4.0,4,NISSAN,Juke,Jeep,Petrol,Automatic,4x4,04-May,Grey,Yes,Left wheel,True
2003,2.4,226000.0,4.0,4,HONDA,Odyssey,Minivan,LPG,Tiptronic,Front,04-May,Beige,No,Right-hand drive,False
2014,2.5,115312.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2001,2.0,290826.0,4.0,6,VOLKSWAGEN,Jetta 2.0,Sedan,Petrol,Automatic,Front,04-May,Silver,No,Left wheel,False
2008,1.5,132800.0,4.0,8,TOYOTA,Prius,Hatchback,Hybrid,Variator,Front,04-May,Green,No,Left wheel,False
2010,1.3,184250.0,4.0,0,HONDA,Insight,Hatchback,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2014,2.5,120804.0,4.0,4,HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
1997,1.6,443033.0,4.0,2,OPEL,Astra,Universal,Petrol,Manual,Front,04-May,Blue,No,Left wheel,False
2014,1.8,1000.0,4.0,4,CHEVROLET,Cruze,Sedan,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2014,3.5,52142.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2010,3.5,311949.0,6.0,12,LEXUS,RX 450,Jeep,Hybrid,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,3.5,80856.0,6.0,12,LEXUS,IS 350,Sedan,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2010,3.3,300366.0,6.0,12,TOYOTA,Highlander,Jeep,Hybrid,Automatic,4x4,04-May,Blue,Yes,Left wheel,False
2003,2.0,175000.0,4.0,4,CHRYSLER,PT Cruiser pt cruiser,Universal,Petrol,Automatic,Front,04-May,Black,No,Right-hand drive,False
2014,3.5,94362.0,6.0,12,MERCEDES-BENZ,ML 350,Jeep,Petrol,Automatic,Rear,04-May,White,Yes,Left wheel,False
2012,3.0,145227.0,6.0,12,MERCEDES-BENZ,ML 350,Jeep,Diesel,Automatic,4x4,04-May,Grey,Yes,Left wheel,False
1999,2.4,350000.0,5.0,6,VOLVO,S80,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2013,1.5,70400.0,4.0,4,TOYOTA,Aqua,Sedan,Petrol,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2015,2.0,80687.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2005,1.7,180600.0,4.0,6,MERCEDES-BENZ,A 170,Hatchback,Petrol,Tiptronic,Front,04-May,Golden,No,Left wheel,False
2015,1.5,49272.0,4.0,0,HONDA,Civic,Jeep,Hybrid,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2011,2.7,121649.0,4.0,4,SSANGYONG,REXTON,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2002,2.2,111111.0,4.0,12,OPEL,Zafira,Minivan,Petrol,Manual,Front,04-May,Grey,No,Left wheel,False
2008,1.2,123232.0,4.0,4,CHEVROLET,Aveo,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2016,1.7,140000.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2008,2.0,71486.0,4.0,4,CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,3.0,221312.0,6.0,12,MERCEDES-BENZ,ML 350,Jeep,Diesel,Automatic,4x4,04-May,Blue,Yes,Left wheel,False
2005,1.5,156000.0,4.0,7,NISSAN,Note,Hatchback,Petrol,Automatic,Front,04-May,Green,No,Right-hand drive,False
2006,1.5,142000.0,4.0,4,SUZUKI,SX4,Hatchback,Petrol,Automatic,Front,04-May,Orange,No,Right-hand drive,False
2015,2.0,333804.0,4.0,4,HYUNDAI,Sonata,Sedan,LPG,Automatic,Front,04-May,Silver,Yes,Left wheel,False
1998,2.8,416000.0,6.0,0,AUDI,A6,Sedan,Petrol,Tiptronic,4x4,04-May,Golden,Yes,Left wheel,False
2003,4.7,204000.0,8.0,8,LEXUS,GX 470,Jeep,CNG,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2013,2.2,350000.0,4.0,6,MERCEDES-BENZ,Viano,Minivan,Diesel,Manual,Rear,04-May,Silver,Yes,Left wheel,False
2006,1.5,130000.0,4.0,2,SUZUKI,Swift,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Right-hand drive,False
2010,3.5,189530.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2012,2.3,118000.0,4.0,4,TOYOTA,Aqua,Hatchback,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2015,3.7,150000.0,6.0,8,FORD,Mustang,Coupe,Petrol,Automatic,Rear,02-Mar,Red,No,Left wheel,False
2017,1.5,0.0,4.0,12,HONDA,Civic,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2016,2.5,42140.0,4.0,6,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,3.5,174400.0,6.0,10,LEXUS,RX 350,Jeep,Petrol,Tiptronic,Front,04-May,Grey,Yes,Left wheel,False
2016,1.6,49068.0,4.0,4,HYUNDAI,Elantra,Sedan,LPG,Automatic,Front,04-May,White,Yes,Left wheel,False
1992,1.8,100000.0,4.0,1,VOLKSWAGEN,Golf,Hatchback,Petrol,Manual,Front,04-May,Black,No,Left wheel,False
2018,1.6,35643.0,4.0,4,HYUNDAI,Elantra,Sedan,LPG,Automatic,Front,04-May,White,Yes,Left wheel,False
2007,1.5,90000.0,4.0,8,TOYOTA,Prius,Hatchback,Petrol,Variator,Front,>5,Golden,No,Left wheel,False
2017,1.6,64765.0,4.0,6,NISSAN,Versa,Sedan,Petrol,Automatic,Front,04-May,White,No,Left wheel,False
2010,1.3,320000.0,4.0,4,HONDA,Insight,Hatchback,LPG,Automatic,Front,04-May,White,No,Left wheel,False
2015,2.0,367720.0,4.0,12,FORD,Fusion,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2009,1.8,380800.0,4.0,8,TOYOTA,Prius,Sedan,Hybrid,Variator,Front,04-May,Black,No,Left wheel,False
2011,2.5,150000.0,4.0,12,TOYOTA,Camry,Sedan,Petrol,Tiptronic,Front,04-May,Blue,No,Left wheel,False
2013,2.5,232032.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2010,1.3,111867.0,4.0,0,HONDA,Insight,Hatchback,Hybrid,Automatic,Front,04-May,Silver,No,Left wheel,False
2015,1.5,28792.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,2.0,174619.0,4.0,0,FORD,Fusion,Sedan,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2010,2.0,151281.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2011,1.6,89323.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2010,1.8,555.0,4.0,0,TOYOTA,Prius,Hatchback,Hybrid,Tiptronic,Front,04-May,White,No,Left wheel,False
2006,1.0,192000.0,3.0,2,TOYOTA,Yaris,Hatchback,Petrol,Automatic,Front,04-May,Grey,No,Left wheel,False
2014,2.5,219150.0,4.0,12,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2019,2.0,1217.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2017,2.2,58113.0,4.0,4,SSANGYONG,REXTON,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,1.0,95100.0,4.0,4,CHEVROLET,Spark,Hatchback,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2015,2.5,0.0,6.0,8,LEXUS,ES 300,Hatchback,Hybrid,Tiptronic,Rear,04-May,Black,Yes,Left wheel,False
2014,1.5,96072.0,4.0,12,TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,Blue,Yes,Left wheel,False
2012,1.5,116453.0,4.0,4,TOYOTA,Aqua,Hatchback,Petrol,Automatic,Front,04-May,Yellow,Yes,Left wheel,False
2017,2.0,50930.0,4.0,12,MERCEDES-BENZ,E 300,Sedan,Petrol,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2017,3.0,98726.0,6.0,12,BMW,X5,Jeep,Diesel,Automatic,4x4,04-May,White,Yes,Left wheel,False
2012,1.5,111000.0,4.0,4,TOYOTA,Aqua,Hatchback,Petrol,Automatic,Front,04-May,Yellow,Yes,Left wheel,False
1999,3.0,180000.0,6.0,12,OPEL,Omega,Sedan,CNG,Manual,Rear,04-May,Black,Yes,Left wheel,False
2013,2.0,147219.0,4.0,4,SSANGYONG,Korando,Pickup,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2014,3.5,219030.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2019,3.5,10670.0,6.0,12,TOYOTA,Highlander,Sedan,Petrol,Automatic,4x4,04-May,Brown,Yes,Left wheel,False
2015,1.8,198000.0,4.0,12,TOYOTA,Prius,Hatchback,Hybrid,Automatic,Front,04-May,Black,No,Left wheel,False
2005,2.4,200000.0,4.0,6,HONDA,Odyssey,Minivan,Petrol,Tiptronic,Front,04-May,Silver,No,Right-hand drive,False
2011,2.0,135691.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2015,2.5,173101.0,4.0,12,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2009,1.6,157000.0,4.0,8,SKODA,Octavia,Sedan,Petrol,Manual,Front,04-May,White,No,Left wheel,False
2011,2.5,155000.0,4.0,16,NISSAN,Rogue,Jeep,Petrol,Automatic,Front,04-May,Red,Yes,Left wheel,False
2016,3.6,120696.0,6.0,12,CHEVROLET,Impala,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2019,3.5,18555.0,6.0,12,TOYOTA,Tacoma,Sedan,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2014,1.8,213698.0,4.0,12,VOLKSWAGEN,Jetta,Sedan,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,2.0,178000.0,4.0,10,FORD,Fusion,Sedan,Hybrid,Tiptronic,Front,04-May,Grey,No,Left wheel,False
2012,2.5,171107.0,4.0,0,TOYOTA,Camry,Sedan,Petrol,Automatic,Front,04-May,Silver,No,Left wheel,False
2017,2.5,91000.0,4.0,12,TOYOTA,Avalon,Sedan,Hybrid,Tiptronic,Rear,04-May,Black,Yes,Left wheel,False
2003,2.0,330000.0,4.0,0,FORD,Transit,Microbus,Diesel,Manual,Front,04-May,White,No,Left wheel,False
2010,2.5,185000.0,4.0,10,FORD,Fusion,Sedan,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2011,2.0,144096.0,4.0,4,HYUNDAI,Tucson,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2012,1.3,16000.0,4.0,4,KIA,RIO,Hatchback,Petrol,Manual,Front,04-May,Silver,No,Left wheel,False
2017,2.4,95334.0,4.0,12,JEEP,Cherokee,Jeep,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2009,3.3,472304.0,6.0,12,TOYOTA,Highlander,Jeep,Hybrid,Automatic,4x4,04-May,White,Yes,Left wheel,False
2016,3.0,448982.0,6.0,0,AUDI,Q5,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2008,3.0,186000.0,6.0,12,BMW,535,Sedan,Petrol,Tiptronic,Rear,04-May,Black,Yes,Left wheel,True
2014,3.3,165355.0,6.0,12,HYUNDAI,Santa FE,Jeep,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2004,1.3,15200.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Silver,No,Right-hand drive,False
2003,1.7,171339.0,4.0,2,OPEL,Combo,Goods wagon,Diesel,Manual,Front,02-Mar,White,No,Left wheel,False
2007,2.0,51258.0,4.0,4,CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,1.6,162911.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2014,1.5,77666.0,1.0,0,GREATWALL,C30,Sedan,Petrol,Manual,Front,04-May,White,No,Left wheel,False
1998,1.6,224000.0,4.0,4,OPEL,Astra,Sedan,Petrol,Manual,Front,04-May,Green,No,Left wheel,False
2018,2.5,35058.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,White,Yes,Left wheel,False
2007,2.4,0.0,4.0,8,TOYOTA,Camry,Sedan,Hybrid,Variator,Front,04-May,Grey,No,Left wheel,False
2013,2.0,69813.0,4.0,12,FORD,Escape,Jeep,Petrol,Automatic,Front,04-May,Green,Yes,Left wheel,False
2014,2.0,89000.0,4.0,12,MERCEDES-BENZ,CLA 250,Sedan,Petrol,Tiptronic,Front,04-May,Black,Yes,Left wheel,True
2011,3.0,125480.0,6.0,12,BMW,X5,Jeep,Petrol,Automatic,4x4,04-May,White,Yes,Left wheel,False
1998,3.2,800000.0,6.0,2,MERCEDES-BENZ,Sprinter,Microbus,CNG,Manual,Rear,04-May,White,Yes,Left wheel,True
2004,3.5,141000.0,6.0,4,NISSAN,Elgrand,Minivan,CNG,Tiptronic,Rear,04-May,White,No,Right-hand drive,False
2014,1.6,78836.0,4.0,4,HYUNDAI,Elantra,Sedan,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2005,2.3,444444.0,4.0,1,MERCEDES-BENZ,Sprinter 314,Microbus,CNG,Manual,Rear,04-May,White,No,Left wheel,False
2017,1.5,75000.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,1.3,154000.0,4.0,4,HONDA,FIT,Hatchback,Hybrid,Variator,Front,04-May,Silver,No,Right-hand drive,False
2017,1.6,107220.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2011,2.5,237853.0,4.0,4,HYUNDAI,H1,Universal,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2011,1.3,198891.0,4.0,0,HONDA,Insight,Hatchback,Hybrid,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2010,3.3,317096.0,6.0,0,TOYOTA,Highlander limited,Jeep,Hybrid,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2012,3.5,285186.0,6.0,12,TOYOTA,Highlander,Jeep,Petrol,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2016,2.5,136469.0,4.0,4,CHEVROLET,Impala,Sedan,Petrol,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2001,2.0,0.0,4.0,0,MITSUBISHI,Carisma,Hatchback,Petrol,Manual,Front,04-May,Grey,No,Left wheel,False
2016,1.8,80000.0,4.0,14,VOLKSWAGEN,Passat,Sedan,Petrol,Tiptronic,Front,04-May,White,Yes,Left wheel,True
2011,2.0,173987.0,4.0,4,SSANGYONG,Actyon,Sedan,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2012,3.0,171221.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2016,2.0,109555.0,4.0,0,MERCEDES-BENZ,GLA 250,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,2.0,167398.0,4.0,12,AUDI,A3,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,1.6,172347.0,4.0,12,KIA,RIO,Hatchback,Petrol,Automatic,Front,04-May,Red,Yes,Left wheel,False
2005,2.0,450000.0,4.0,4,SKODA,Octavia,Sedan,Petrol,Manual,Front,04-May,White,No,Left wheel,False
2015,3.5,91899.0,6.0,12,TOYOTA,Highlander,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2008,4.7,329600.0,8.0,12,LEXUS,GX 470 SUV 4D (4.7L V8 S,Jeep,LPG,Tiptronic,4x4,04-May,Golden,Yes,Left wheel,False
2014,1.8,24000.0,4.0,12,HYUNDAI,Elantra,Sedan,Petrol,Tiptronic,Front,04-May,Red,No,Left wheel,False
2017,1.6,35477.0,4.0,4,HYUNDAI,Tucson,Jeep,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2017,1.6,67122.0,4.0,4,CHEVROLET,Aveo,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2002,1.5,187000.0,4.0,2,MITSUBISHI,Colt,Hatchback,Petrol,Variator,Front,04-May,Black,No,Right-hand drive,False
2018,2.5,32000.0,4.0,12,TOYOTA,Camry,Sedan,Hybrid,Automatic,Front,04-May,Black,Yes,Left wheel,False
2012,1.8,115000.0,4.0,9,TOYOTA,Prius,Hatchback,Hybrid,Variator,Front,04-May,Green,No,Left wheel,False
2011,1.8,32974.0,4.0,0,LEXUS,CT 200h,Hatchback,Hybrid,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2015,4.6,102907.0,8.0,0,LEXUS,GX 460,Jeep,Petrol,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2010,3.5,189530.0,6.0,12,MERCEDES-BENZ,E 350,Sedan,Diesel,Automatic,4x4,04-May,Black,Yes,Left wheel,False
2005,1.3,201800.0,4.0,4,HONDA,FIT,Hatchback,Petrol,Automatic,Front,04-May,White,No,Right-hand drive,False
2014,2.0,13000.0,4.0,8,FORD,Focus,Hatchback,Petrol,Manual,Front,04-May,White,No,Left wheel,False
2012,1.4,95000.0,4.0,4,CHEVROLET,Volt,Sedan,Plug-in Hybrid,Automatic,Front,04-May,Grey,No,Left wheel,False
2006,1.5,134000.0,4.0,2,NISSAN,Tiida,Hatchback,Petrol,Variator,Front,04-May,Silver,Yes,Right-hand drive,False
2012,1.6,170713.0,4.0,4,HYUNDAI,Elantra,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2007,2.0,67435.0,4.0,4,CHEVROLET,Captiva,Jeep,Diesel,Automatic,Front,04-May,Silver,Yes,Left wheel,False
2002,2.7,288578.0,5.0,10,MERCEDES-BENZ,ML 270 CDI,Jeep,Diesel,Tiptronic,4x4,04-May,Blue,Yes,Left wheel,True
2013,2.0,56129.0,4.0,4,KIA,Optima,Sedan,Petrol,Automatic,Front,04-May,White,Yes,Left wheel,False
2012,2.4,159000.0,6.0,10,HYUNDAI,Tucson,Jeep,Petrol,Automatic,Front,02-Mar,Black,Yes,Left wheel,False
2017,2.5,30066.0,4.0,4,HYUNDAI,H1,Minivan,Diesel,Automatic,Front,04-May,Grey,Yes,Left wheel,False
2011,2.5,83000.0,5.0,4,VOLKSWAGEN,Jetta,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2013,1.3,126000.0,4.0,8,HONDA,Insight,Coupe,Hybrid,Automatic,Front,04-May,Blue,No,Left wheel,False
2017,3.5,39814.0,6.0,0,MERCEDES-BENZ,GLE 350,Jeep,Petrol,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2019,1.8,54307.0,4.0,12,TOYOTA,Corolla,Sedan,Petrol,Automatic,Front,04-May,Black,Yes,Left wheel,False
2014,3.0,83600.0,6.0,12,BMW,535,Sedan,Diesel,Automatic,Rear,04-May,Black,Yes,Left wheel,False
2001,2.7,247000.0,4.0,4,TOYOTA,Land Cruiser Prado,Jeep,CNG,Automatic,4x4,04-May,Black,No,Left wheel,False
2016,1.6,68942.0,4.0,4,SSANGYONG,Actyon,Jeep,Diesel,Automatic,Front,04-May,White,Yes,Left wheel,False
2001,2.3,236687.0,4.0,2,MERCEDES-BENZ,CLK 230,Coupe,Petrol,Manual,Rear,02-Mar,Black,No,Left wheel,False
2010,3.5,216600.0,6.0,0,MERCEDES-BENZ,ML 350,Jeep,Petrol,Tiptronic,Rear,04-May,Beige,Yes,Left wheel,False
2017,2.0,35200.0,4.0,6,LEXUS,IS 200,Sedan,Petrol,Tiptronic,Rear,04-May,White,Yes,Left wheel,True
